"","name","Address","price","lat","lon","distance","type","brand"
"518","Station","Dübendorfstr. 34, Zürich",1.849,47.4026553,8.5773801,1,"unlead95","Tamoil"
"521","Station","Rte de Thonon 336, Anières",2.106,46.2680872,6.238152,1,"diesel","Tamoil"
"522","Station","Rte de Thonon 336, Anières",1.849,46.2680872,6.238152,1,"unlead95","Tamoil"
"523","Station","Rte de Montana 1, Veyras",2.106,46.3063035,7.529767,1,"diesel","Tamoil"
"524","Station","Rte de Montana 1, Veyras",1.849,46.3063035,7.529767,1,"unlead95","Tamoil"
"525","Station","Bernstr. 361, Dietikon",2.106,47.39215455,8.40143545,1,"diesel","Tamoil"
"526","Station","Bernstr. 361, Dietikon",1.849,47.39215455,8.40143545,1,"unlead95","Tamoil"
"529","Station","Sandgruebstr. 2, Eglisau",2.106,47.5678724,8.5233914,1,"diesel","Tamoil"
"530","Station","Sandgruebstr. 2, Eglisau",1.849,47.5678724,8.5233914,1,"unlead95","Tamoil"
"531","Station","Huebwiesenstrasse 32, Geroldswil",2.106,47.42186925,8.4104194297847,1,"diesel","Tamoil"
"532","Station","Huebwiesenstrasse 32, Geroldswil",1.849,47.42186925,8.4104194297847,1,"unlead95","Tamoil"
"533","Station","Route des Plaines du Loup 26, Lausanne",2.106,46.53453685,6.6259301846473,1,"diesel","Tamoil"
"534","Station","Route des Plaines du Loup 26, Lausanne",1.849,46.53453685,6.6259301846473,1,"unlead95","Tamoil"
"535","Station","Rte de Genève 19, Commugny",2.106,46.3158821,6.1746238,1,"diesel","Tamoil"
"536","Station","Rte de Genève 19, Commugny",1.849,46.3158821,6.1746238,1,"unlead95","Tamoil"
"537","Station","Place du Tunnel 21, Lausanne",2.106,46.52585845,6.63384327000774,1,"diesel","Tamoil"
"538","Station","Place du Tunnel 21, Lausanne",1.849,46.52585845,6.63384327000774,1,"unlead95","Tamoil"
"539","Sierre","Route de Sion 79, Sierre",2.106,46.2848926,7.5168942,1,"diesel","Tamoil"
"540","Sierre","Route de Sion 79, Sierre",1.849,46.2848926,7.5168942,1,"unlead95","Tamoil"
"541","Station","Rte du Grand-St-Bernard 2, Liddes",2.106,45.9925228,7.1842154,1,"diesel","Tamoil"
"542","Station","Rte du Grand-St-Bernard 2, Liddes",1.849,45.9925228,7.1842154,1,"unlead95","Tamoil"
"543","Station","Reppischtalstrasse 312, Stallikon",2.106,47.3074898,8.4881287,1,"diesel","Tamoil"
"544","Station","Reppischtalstrasse 312, Stallikon",1.849,47.3074898,8.4881287,1,"unlead95","Tamoil"
"545","Station","Kempttalstrasse 21, Fehraltorf",2.106,47.3897218,8.74876520640732,1,"diesel","Tamoil"
"546","Station","Kempttalstrasse 21, Fehraltorf",1.849,47.3897218,8.74876520640732,1,"unlead95","Tamoil"
"549","Station","Dorfstrasse 15, Kloten",2.106,47.453505,8.58220228498818,1,"diesel","Tamoil"
"550","Station","Dorfstrasse 15, Kloten",1.849,47.453505,8.58220228498818,1,"unlead95","Tamoil"
"551","Station","Landstrasse 187, Wettingen",2.106,47.4597932,8.3416522,1,"diesel","Tamoil"
"552","Station","Landstrasse 187, Wettingen",1.849,47.4597932,8.3416522,1,"unlead95","Tamoil"
"553","Vesenaz","Route de Thonon 117, Vesenaz",2.106,46.24608655,6.20775882411744,1,"diesel","Tamoil"
"554","Vesenaz","Route de Thonon 117, Vesenaz",1.849,46.24608655,6.20775882411744,1,"unlead95","Tamoil"
"555","Station","Rue de Morges 1, Crissier",2.106,46.55144365,6.57104153101531,1,"diesel","Tamoil"
"556","Station","Rue de Morges 1, Crissier",1.849,46.55144365,6.57104153101531,1,"unlead95","Tamoil"
"557","Station","Rte de Blonay 20, Vevey",2.106,46.4614698,6.85698085,1,"diesel","Tamoil"
"558","Station","Rte de Blonay 20, Vevey",1.849,46.4614698,6.85698085,1,"unlead95","Tamoil"
"559","Riazzino","Via Cantonale, Riazzino",2.106,46.1745015,8.8976751,1,"diesel","Tamoil"
"560","Riazzino","Via Cantonale, Riazzino",1.849,46.1745015,8.8976751,1,"unlead95","Tamoil"
"561","Station","Hohenemser Str. 65a, Diepoldsau",2.106,47.3791489,9.66823603979832,1,"diesel","Tamoil"
"562","Station","Hohenemser Str. 65a, Diepoldsau",1.849,47.3791489,9.66823603979832,1,"unlead95","Tamoil"
"563","Station","Rte de Lausanne 19, Morges",2.106,46.6076994,6.5168614,1,"diesel","Tamoil"
"564","Station","Rte de Lausanne 19, Morges",1.849,46.6076994,6.5168614,1,"unlead95","Tamoil"
"565","Station","Rue du Pelaz 1, Bassins",2.106,46.46282685,6.2328978,1,"diesel","Tamoil"
"566","Station","Rue du Pelaz 1, Bassins",1.849,46.46282685,6.2328978,1,"unlead95","Tamoil"
"567","Station","Rte d'Echallens 16, Etagnières",2.106,46.60190285,6.61455332621064,1,"diesel","Tamoil"
"568","Station","Rte d'Echallens 16, Etagnières",1.849,46.60190285,6.61455332621064,1,"unlead95","Tamoil"
"569","Saint","Av. du Simplon 27, Saint-Maurice",2.106,46.2125383,7.0055897,1,"diesel","Tamoil"
"570","Saint","Av. du Simplon 27, Saint-Maurice",1.849,46.2125383,7.0055897,1,"unlead95","Tamoil"
"571","Sierre","Route de Sion 66, Sierre",2.106,46.2858916,7.5176627,1,"diesel","Tamoil"
"572","Sierre","Route de Sion 66, Sierre",1.849,46.2858916,7.5176627,1,"unlead95","Tamoil"
"573","Station","Landstrasse 10, Rafz",2.106,47.6109809,8.5397327,1,"diesel","Tamoil"
"574","Station","Landstrasse 10, Rafz",1.849,47.6109809,8.5397327,1,"unlead95","Tamoil"
"575","Station","Im Chrummenacher 8, Illnau",2.106,47.4047836,8.71949001562682,1,"diesel","Tamoil"
"576","Station","Im Chrummenacher 8, Illnau",1.849,47.4047836,8.71949001562682,1,"unlead95","Tamoil"
"577","Station","Route de Prilly 2, Crissier",2.106,46.548827,6.5799914,1,"diesel","Tamoil"
"578","Station","Route de Prilly 2, Crissier",1.849,46.548827,6.5799914,1,"unlead95","Tamoil"
"579","Station","Rte Blanche 7, Gingins",2.106,46.4173398,6.1853895,1,"diesel","Tamoil"
"580","Station","Rte Blanche 7, Gingins",1.849,46.4173398,6.1853895,1,"unlead95","Tamoil"
"581","Station","Oberhof 15, Weisslingen",2.106,47.428112,8.7666267714839,1,"diesel","Tamoil"
"582","Station","Oberhof 15, Weisslingen",1.849,47.428112,8.7666267714839,1,"unlead95","Tamoil"
"583","Station","Konstanzerstrasse 35, Kreuzlingen",2.106,47.6508092,9.1656162,1,"diesel","Tamoil"
"584","Station","Konstanzerstrasse 35, Kreuzlingen",1.849,47.6508092,9.1656162,1,"unlead95","Tamoil"
"585","Schlieren","Bernstr. 31, Schlieren",2.106,47.4018341,8.45046526280659,1,"diesel","Tamoil"
"586","Schlieren","Bernstr. 31, Schlieren",1.849,47.4018341,8.45046526280659,1,"unlead95","Tamoil"
"587","Station","Cantonale 1, Lamone",2.106,46.0451768,8.9260722,1,"diesel","Tamoil"
"588","Station","Cantonale 1, Lamone",1.849,46.0451768,8.9260722,1,"unlead95","Tamoil"
"589","Station","Rte de Sierre 1, Vissoie",2.106,46.2161974,7.5854252,1,"diesel","Tamoil"
"590","Station","Rte de Sierre 1, Vissoie",1.849,46.2161974,7.5854252,1,"unlead95","Tamoil"
"591","Station","Schulstrasse 3, Aarburg",2.106,47.3297382,7.9038076,1,"diesel","Tamoil"
"592","Station","Schulstrasse 3, Aarburg",1.849,47.3297382,7.9038076,1,"unlead95","Tamoil"
"593","Station","A 1, Bursins",2.106,46.4515535,6.2906369,1,"diesel","Tamoil"
"594","Station","A 1, Bursins",1.849,46.4515535,6.2906369,1,"unlead95","Tamoil"
"595","Station","Rte de Suisse 36, Mies",2.106,46.299034,6.1711215,1,"diesel","Tamoil"
"596","Station","Rte de Suisse 36, Mies",1.849,46.299034,6.1711215,1,"unlead95","Tamoil"
"597","Station","Route du Simplon, Roche",2.106,46.3532644,6.933023,1,"diesel","Tamoil"
"598","Station","Route du Simplon, Roche",1.849,46.3532644,6.933023,1,"unlead95","Tamoil"
